レポート開始日,レポート終了日,広告セット名,広告セットの配信,入札,入札タイプ,広告セットの予算,広告セットの予算タイプ,前回の大きな変更,アトリビューション設定,結果,結果インジケーター,リーチ,インプレッション,結果の単価,"消化金額 (JPY)",終了日時,開始,"CPC(リンククリックの単価) (JPY)",結果のROAS,結果ROASインジケーター,CTR(リンククリックスルー率),CTR(すべて),"CPC(すべて) (JPY)",最適化イベント,最適化イベントインジケーター,最適化イベントのコンバージョンウィンドウ,最適化イベントの単価,リンクのクリック,クリック(すべて),"アウトバウンドCTR (クリック率)","ユニークアウトバウンドCTR (クリック率)",寄付のROAS(広告費用対効果),購入ROAS(広告費用対効果),"CPM(インプレッション単価) (JPY)",フリークエンシー,購入
2025-10-26,2025-11-24,,0,0,0,0,0,0,複数アトリビューション設定,,,49939,111873,,379270,,,,,,,1.701036,199.301104,,,,,,1903,,,,,3390.183512,2.240193,
2025-10-26,2025-11-24,"2022.03.03~  蓄積copy【リード】自動配置 -不動産",not_delivering,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-04-22,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"2022.03.03~  蓄積copy【リード】自動配置 - ホーム系",not_delivering,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-04-22,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"2022.03.03~  蓄積copy【リード】自動配置 - 子ども系",not_delivering,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-04-22,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"2022.03.03~  蓄積copy【リード】自動配置 _ 婚約系",not_delivering,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-04-22,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"★2022.03.03~ トラフィック 蓄積copy - コピー - コピー",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-06-02,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"2020.10~ 蓄積【資料請求CV】自動配置",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-06-02,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"2020.10~ 蓄積【資料請求CV】ストーリーズ",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2024-11-30T19:36:11+0900,-,,,0,0,,0,継続,2022-06-02,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"202010.01~11.30 会社紹介",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2024-11-30T19:36:11+0900,-,,,0,0,,0,継続,2022-06-02,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,【CV】ダイナミックON①,inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2024-11-30T19:36:11+0900,-,,,0,0,,0,継続,2022-06-02,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"【コンバージョン】蓄積 2022.06~ - コピー",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2024-11-30T19:36:11+0900,-,,,0,0,,0,継続,2022-06-02,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,【リーチ】ダイナミック①_180除外+住宅,not_delivering,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-12-04,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,【トラフィック】D①_180除外_子育て＋住宅,not_delivering,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-12-05,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"【CV】ダイナミック④ - コピー - コピー",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2024-11-30T19:36:11+0900,-,,,0,0,,0,継続,2023-01-20,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,【リーチ】D②_180除外+住宅・子育て,not_delivering,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2024-05-27T14:49:04+0900,-,,,0,0,,0,継続,2023-02-04,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,webアクセス＋類似,not_delivering,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-01-16T13:56:55+0900,-,,,0,0,,0,継続,2023-07-27,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,【webアクセス＋類似+予約除外】常時OPENHOUSE,not_delivering,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2024-12-02T13:54:31+0900,-,,,0,0,,0,継続,2024-06-01,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,【トラフィック】D②_180除外_住宅,active,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,645,actions:omni_landing_page_view,32804,49811,46.8620155,30226,継続,2025-07-01,45.727685,,,1.327016,1.579972,38.406607,645,actions:landing_page_view,クリックから1日間,46.8620155,661,787,1.327016,1.902207,,,606.813756,1.518443,
2025-10-26,2025-11-24,"202010.01~11.30 会社紹介",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2025-07-01,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,✕【CV】ダイナミック④,inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2025-07-01,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,webアクセス除外,inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2025-07-01,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"【CV】ダイナミック④ - コピー - コピー",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2025-07-01,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"✕【CV】ダイナミック④ - コピー",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2025-07-01,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,webアクセス＋類似,active,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,38,actions:offsite_conversion.fb_pixel_purchase,13456,48158,7904.60526316,300375,継続,2025-07-01,590.127701,,,1.056938,1.721417,362.334138,38,actions:offsite_conversion.fb_pixel_purchase,表示から1日間、クリックから7日間,7904.60526316,509,829,1.056938,3.203032,,,6237.281449,3.578924,38
2025-10-26,2025-11-24,【webアクセス＋類似+予約除外】常時OPENHOUSE,active,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,7,actions:offsite_conversion.fb_pixel_purchase,6062,13904,6952.71428571,48669,継続,2025-07-01,197.040486,,,1.776467,2.064154,169.578397,7,actions:offsite_conversion.fb_pixel_purchase,表示から1日間、クリックから7日間,6952.71428571,247,287,1.71893,2.276476,,,3500.359609,2.293632,7
2025-10-26,2025-11-24,"× 唐橋様邸_アクセス除外+予約除外",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-07-01T16:53:24+0900,-,,,0,0,,0,継続,2025-07-01,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"2020.10~ 蓄積【資料請求CV】ストーリーズ",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-06-02,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"202010.01~11.30 会社紹介",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-06-02,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"2020.10~ 蓄積【資料請求CV】ストーリーズ",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-06-02,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"202010.01~11.30 会社紹介",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-06-02,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"★リーチ 蓄積 copy 2022.03.05~",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-03-05,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"2022.03.03~  蓄積copy【リード】自動配置",not_delivering,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-03-18,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"★2022.03.03~ トラフィック 蓄積copy - コピー",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,0,-,,,0,0,,0,継続,2022-04-05,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,【CV】ダイナミック②,inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2024-11-30T19:36:11+0900,-,,,0,0,,0,継続,2022-08-01,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,✕【CV】ダイナミック④,inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2024-11-30T19:36:11+0900,-,,,0,0,,0,継続,2022-12-03,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,"✕【CV】ダイナミック④ - コピー",inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2024-11-30T19:36:11+0900,-,,,0,0,,0,継続,2022-12-15,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,【トラフィック】D②_180除外_住宅,not_delivering,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2024-05-27T14:57:03+0900,-,,,0,0,,0,継続,2023-02-04,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,Miraizu_OPEN(2023.06.05~)スラショ,inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2024-11-30T19:36:11+0900,-,,,0,0,,0,継続,2023-06-05,,,,,0,0,,,,,,0,,,,,0,0,
2025-10-26,2025-11-24,webアクセス除外,inactive,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2024-11-30T19:36:11+0900,-,,,0,0,,0,継続,2023-06-05,,,,,0,0,,,,,,0,,,,,0,0,
